year,state_fips,state_abbreviation,median_medical_debt
2013,54,WV,1035
2014,54,WV,985
2015,54,WV,933
2016,54,WV,788
2017,54,WV,847
2018,54,WV,825
2019,54,WV,778
2020,54,WV,695
2021,54,WV,706
2022,54,WV,574
2023,54,WV,1406
2011,55,WI,1023
2012,55,WI,1052
2013,55,WI,1029
2014,55,WI,1055
2015,55,WI,1141
2016,55,WI,1124
2017,55,WI,1210
2018,55,WI,1232
2019,55,WI,1228
2020,55,WI,1043
2021,55,WI,1037
2022,55,WI,977
2023,55,WI,1662
2011,56,WY,1417
2012,56,WY,1399
2013,56,WY,1461
2014,56,WY,1400
2015,56,WY,1280
2016,56,WY,1421
2017,56,WY,1448
2018,56,WY,1519
2019,56,WY,1617
2020,56,WY,1765
2021,56,WY,1812
2022,56,WY,1539
2023,56,WY,2516
